id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7310803539,auburn,28990,2020.0,buick,encore gx essence sport,good,,gas,21.0,clean,other,KL4MMGSL4LB128069,,,other,white,al
7302537532,auburn,52990,2020.0,jaguar,e-pace p300 r-dynamic se,good,,gas,79.0,clean,other,SADFL2GX2L1Z91107,,,other,white,al
7316644188,birmingham,2500,1976.0,chevrolet,malibu classic,,,gas,100.0,clean,automatic,,,,,,al
7315873690,birmingham,31990,2017.0,jeep,wrangler sport s utility 2d,good,6 cylinders,gas,891.0,clean,other,1C4AJWAG1HL698869,4wd,,other,white,al
7314769271,birmingham,26990,2020.0,nissan,frontier,,,gas,323.0,clean,automatic,1N6ED0CE8LN726078,rwd,,,red,al
7314590934,birmingham,39900,2015.0,lincoln,,,,gas,51.0,clean,automatic,,,,,,al
7314044610,birmingham,99950,2021.0,chevrolet,corvette stingray spor,,,gas,510.0,clean,automatic,,rwd,,coupe,orange,al
7313736542,birmingham,5500,2001.0,ford,e350 van,fair,,diesel,340000.0,clean,automatic,,fwd,,van,white,al
7313478091,birmingham,27990,2014.0,ram,2500 4x4,like new,6 cylinders,diesel,2222222.0,clean,automatic,,4wd,full-size,truck,white,al
7312876423,birmingham,17990,2018.0,ford,edge sel,like new,6 cylinders,gas,1111111.0,clean,automatic,,fwd,mid-size,SUV,blue,al
7311998372,birmingham,3980,2013.0,kia,rio,,4 cylinders,gas,0.0,,manual,KNADM4A30D6171594,fwd,,sedan,white,al
7311383400,birmingham,34990,2018.0,,Isuzu NPR HD GAS CREW,good,8 cylinders,gas,23.0,clean,automatic,54DC4J185JS808272,rwd,,,white,al
7310629921,birmingham,2900,1999.0,lexus,gs400,good,8 cylinders,gas,378000.0,clean,automatic,,,full-size,sedan,white,al
7309893460,birmingham,15900,2005.0,,Kenworth T300,good,,diesel,360000.0,clean,manual,,,,,white,al
7309558028,birmingham,12500,1946.0,,AutoCar flatbed truck,fair,6 cylinders,gas,123.0,missing,manual,906419252,,,,,al
7308919338,birmingham,2500,1976.0,chevrolet,malibu classic,,,gas,100.0,clean,automatic,,,,,,al
7308485634,birmingham,35000,1978.0,toyota,land cruiser,good,8 cylinders,gas,1000000.0,clean,manual,,4wd,full-size,SUV,red,al
7307143581,birmingham,26990,2020.0,nissan,frontier,,,gas,323.0,clean,automatic,1N6ED0CE8LN726078,rwd,,,red,al
7305271229,birmingham,3850,2004.0,nissan,titan,,8 cylinders,gas,319746.0,,automatic,1N6AA06B84N529244,4wd,,pickup,red,al
7305220570,birmingham,15000,2003.0,volvo,vnl 780,good,,diesel,1000000.0,clean,manual,,,full-size,truck,white,al
7304161888,birmingham,14900,2005.0,,KW T800,,,diesel,771000.0,clean,manual,,,,,white,al
7303642038,birmingham,36495,2017.0,rover,discovery sport,,4 cylinders,gas,88.0,clean,automatic,SALCR2BG9HH697182,4wd,,SUV,white,al
7302548340,birmingham,10477,2009.0,chevrolet,colorado,,,gas,0.0,clean,automatic,1GCCS139X98156780,,,,black,al
7302443351,birmingham,15000,2003.0,volvo,vnl 780,good,,diesel,1000000.0,clean,manual,,,full-size,truck,white,al
7302415559,birmingham,4800,1996.0,toyota,4runner 4wd,good,6 cylinders,gas,314000.0,clean,automatic,,4wd,,SUV,green,al
7302320525,birmingham,3300,1994.0,bmw,318ic cabrio,fair,4 cylinders,gas,304000.0,clean,manual,WBABK6328RED15065,rwd,mid-size,convertible,black,al
7301682080,birmingham,52990,2020.0,jaguar,e-pace p300 r-dynamic se,good,,gas,79.0,clean,other,SADFL2GX2L1Z91107,,,other,white,al
7301681679,birmingham,11980,2013.0,infiniti,g37 sedan,,6 cylinders,gas,0.0,,automatic,JN1CV6AP2DM300508,rwd,,sedan,silver,al
7316535594,dothan,37164,2020.0,ford,edge st line,,,gas,12.0,clean,automatic,,,,,,al
7315114300,dothan,20682,2020.0,ford,ecosport titanium suv,,,gas,10.0,clean,automatic,,,,,,al
7314773182,dothan,33993,2020.0,ford,ranger xlt,,,gas,3.0,clean,automatic,,,,,,al
7313895456,dothan,5325,2007.0,chevrolet,impala,good,6 cylinders,gas,349000.0,clean,automatic,,,,,black,al
7313616259,dothan,25737,2020.0,ford,escape sel suv,,,gas,15.0,clean,automatic,,,,,,al
7312973645,dothan,44998,2020.0,ford,explorer limited suv,,,gas,64.0,clean,automatic,,,,,,al
7311906888,dothan,46232,2020.0,ford,expedition xlt suv,,,gas,4.0,clean,automatic,,,,,,al
7311618575,dothan,31889,2020.0,ford,edge sel suv,,,gas,5.0,clean,automatic,,,,,,al
7311090875,dothan,42891,2020.0,ford,f150 xlt 4wd f-150 4x4,,,gas,13.0,clean,automatic,,,,,,al
7310789148,dothan,20804,2020.0,ford,ecosport titanium suv,,,gas,7.0,clean,automatic,,,,,,al
7310418096,dothan,45542,2021.0,ford,explorer limited suv,,,gas,3.0,clean,automatic,,,,,,al
7309808201,dothan,28990,2020.0,buick,encore gx essence sport,good,,gas,21.0,clean,other,KL4MMGSL4LB128069,,,other,white,al
7309746566,dothan,45306,2021.0,ford,explorer limited,,,gas,5.0,clean,automatic,,,,,,al
7309326921,dothan,46273,2020.0,ford,f150 xlt 4wd f-150 4x4,,,gas,8.0,clean,automatic,,,,,,al
